Sentiment,L1 Cluster ID,L1 Cluster,L1 Phrase Count,L1 Review Count,L1 Rating (Phrase),L1 Rating (Review),L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Review Count,L2 Rating (Phrase),L2 Rating (Review),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I4, dark acne scars,22,20,4.7,4.727272727,P4L4I826, super thick,P4R1350,5,No,Yes,No,0,0,,
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I8, fungal acne,19,19,4.684210526,4.684210526,P4L4I827, creamy & emollient,P4R1350,5,No,Yes,No,0,0,,
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I13,Odor,60,59,4.716666667,4.711864407,P4L3I27, absorbs very well,14,14,4.714285714,4.714285714,P4L4I828, smells amazing,P4R1350,5,No,Yes,No,0,0,,
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I13,Odor,60,59,4.716666667,4.711864407,P4L3I9, redness gone,9,8,4.75,4.777777778,P4L4I829, refreshing,P4R1350,5,No,Yes,No,0,0,,
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I5, Very gentle,16,16,4.9375,4.9375,P4L4I830, wasn’t too greasy,P4R1357,5,No,Yes,No,0,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I43, dry ski,47,44,4.840909091,4.85106383,P4L4I563, very sensitive skin,P4R1357,5,No,Yes,No,0,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I10, broken out of my forehead and this product made me break out,20,18,5,5,P4L4I831, problem of blackheads,P4R1357,5,No,Yes,No,0,0,,Acne
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I20, husband,18,17,4.882352941,4.888888889,P4L4I832, slathering on a sample,P4R1359,5,No,Yes,No,8,0,,Acne
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I3, calm any redness,16,16,4.8125,4.8125,P4L4I833, face is looking better,P4R1359,5,No,Yes,No,8,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I2, combination acne prone skin,25,25,4.88,4.88,P4L4I69, acne prone skin,P4R1359,5,No,Yes,No,8,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I3, calm any redness,37,36,4.916666667,4.918918919,P4L4I834, calming redness and irritation,P4R1359,5,No,Yes,No,8,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I4, dark acne scars,21,20,4.95,4.952380952,P4L4I835, Scabs have healed over,P4R1359,5,No,Yes,No,8,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I4, dark acne scars,21,20,4.95,4.952380952,P4L4I836, recent scarring has faded,P4R1359,5,No,Yes,No,8,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I27, absorbs very well,24,24,4.958333333,4.958333333,P4L4I837, mild body acne too,P4R1359,5,No,Yes,No,8,0,,Acne
